record_id_1,record_id_2,similarity_score
2380,5093,0.85
5847,8767,0.85
5847,29463,0.85
8767,29463,0.85
3114,21755,0.85
3114,31891,0.85
21755,31891,0.85
19903,24530,0.85
19903,31299,0.85
24530,31299,0.85
11748,14864,0.85
16396,24296,0.85
16419,16817,0.85
7607,13726,0.85
7607,28731,0.85
13726,28731,0.85
4725,7757,0.85
4725,33234,0.85
7757,33234,0.85
5915,13137,0.85
5915,30115,0.85
13137,30115,0.85
10331,17420,0.85
3206,7755,0.85
3206,21665,0.85
7755,21665,0.85
403,2740,0.85
14381,31468,0.85
19983,24981,0.85
2093,3909,0.85
9725,33250,0.85
12688,15474,0.85
12688,32295,0.85
15474,32295,0.85
7083,14716,0.85
7786,32076,0.85
6165,11039,0.85
6165,11292,0.85
6165,30009,0.85
11039,11292,0.85
11039,30009,0.85
11292,30009,0.85
6972,9809,0.85
4681,33403,0.85
12080,12284,0.85
12080,18475,0.85
12284,18475,0.85
4415,32898,0.85
10885,16216,0.85
10885,20043,0.85
16216,20043,0.85
12760,22010,0.85
12760,27215,0.85
22010,27215,0.85
2869,29339,0.85
14283,18899,0.85
14283,26370,0.85
18899,26370,0.85
965,5809,0.85
965,33123,0.85
5809,33123,0.85
896,14047,0.85
896,27401,0.85
14047,27401,0.85
3014,9070,0.85
3014,21110,0.85
9070,21110,0.85
16654,18204,0.85
8986,22229,0.85
8986,30641,0.85
22229,30641,0.85
535,3574,0.85
535,31058,0.85
3574,31058,0.85
3958,12393,0.85
3958,26812,0.85
12393,26812,0.85
5755,29600,0.85
5755,31384,0.85
29600,31384,0.85
6522,10838,0.85
6522,19997,0.85
10838,19997,0.85
3244,6041,0.85
3244,20709,0.85
6041,20709,0.85
1396,24043,0.85
1396,25955,0.85
24043,25955,0.85
22949,23437,0.85
14156,20890,0.85
13665,17510,0.85
13665,31325,0.85
17510,31325,0.85
2691,20768,0.85
2814,18328,0.85
8790,28646,0.85
8956,19204,0.85
8956,26402,0.85
12026,15027,0.85
12026,26791,0.85
15027,26791,0.85
19204,26402,0.85
5367,11166,0.85
5367,26492,0.85
11166,26492,0.85
11381,11454,0.85
7743,26535,0.85
3711,17366,0.85
4851,6300,0.85
4851,11742,0.85
6300,11742,0.85
16992,26886,0.85
2789,4362,0.85
2789,6395,0.85
2789,31967,0.85
4362,6395,0.85
4362,31967,0.85
6395,31967,0.85
1607,14005,0.85
8015,26847,0.85
8015,33195,0.85
26847,33195,0.85
6238,25934,0.85
6238,28122,0.85
25934,28122,0.85
16824,32600,0.85
16824,32926,0.85
32600,32926,0.85
2692,3829,0.85
2692,25424,0.85
3829,25424,0.85
22479,33368,0.85
3908,15339,0.85
6023,22652,0.85
17612,20259,0.85
17612,28578,0.85
17612,29334,0.85
20259,28578,0.85
20259,29334,0.85
28578,29334,0.85
3814,13929,0.85
3814,23507,0.85
4342,24244,0.85
12349,20408,0.85
13929,23507,0.85
27850,29474,0.85
7864,22155,0.85
8279,22015,0.85
4011,17742,0.85
4011,18650,0.85
17742,18650,0.85
19549,25399,0.85
9136,29959,0.85
12465,19046,0.85
7948,24887,0.85
6547,7850,0.85
6547,25010,0.85
7850,25010,0.85
445,28335,0.85
3565,7150,0.85
11345,14591,0.85
12416,12675,0.85
12416,14473,0.85
12675,14473,0.85
5550,9605,0.85
3727,20482,0.85
5199,28970,0.85
5357,17655,0.85
5357,26591,0.85
12558,28434,0.85
17655,26591,0.85
6040,10261,0.85
6040,22004,0.85
10261,22004,0.85
1005,16392,0.85
1005,30252,0.85
3549,15506,0.85
10018,12278,0.85
10018,14057,0.85
12278,14057,0.85
15097,19858,0.85
16392,30252,0.85
16873,33353,0.85
18745,29388,0.85
2448,3611,0.85
2448,25254,0.85
3611,25254,0.85
8698,11105,0.85
8912,28189,0.85
11228,28215,0.85
16928,17627,0.85
16928,30182,0.85
16928,31921,0.85
17627,30182,0.85
17627,31921,0.85
30182,31921,0.85
1115,23798,0.85
1115,32121,0.85
10564,13923,0.85
10564,19168,0.85
13923,19168,0.85
23798,32121,0.85
15232,15386,0.85
15232,21355,0.85
15386,21355,0.85
2549,22537,0.85
2549,32508,0.85
22537,32508,0.85
19674,33226,0.85
2673,20160,0.85
3775,8732,0.85
3775,19538,0.85
8732,19538,0.85
15354,20791,0.85
15354,31321,0.85
20791,31321,0.85
11037,17507,0.85
4022,11472,0.85
4022,25192,0.85
11472,25192,0.85
11059,13576,0.85
11059,29787,0.85
13576,29787,0.85
8129,16903,0.85
8129,20808,0.85
8129,21278,0.85
16903,20808,0.85
16903,21278,0.85
20808,21278,0.85
5284,9785,0.85
5284,13997,0.85
5284,25696,0.85
9785,13997,0.85
9785,25696,0.85
13997,25696,0.85
28647,31456,0.85
28647,31968,0.85
31456,31968,0.85
19037,19133,0.85
19037,25243,0.85
19133,25243,0.85
5864,15992,0.85
3278,17952,0.85
3278,25132,0.85
17952,25132,0.85
1735,14523,0.85
1735,29530,0.85
1735,30778,0.85
14523,29530,0.85
14523,30778,0.85
29530,30778,0.85
6152,23572,0.85
2966,15999,0.85
2966,26619,0.85
15999,26619,0.85
6841,7746,0.85
6841,20005,0.85
7746,20005,0.85
5321,20975,0.85
17574,31507,0.85
17574,32299,0.85
31507,32299,0.85
2689,25178,0.85
2689,28968,0.85
25178,28968,0.85
10796,32172,0.85
23345,27047,0.85
23345,30963,0.85
27047,30963,0.85
4387,25395,0.85
4387,30508,0.85
25395,30508,0.85
29659,32974,0.85
1996,33041,0.85
1295,20219,0.85
1295,29638,0.85
20219,29638,0.85
15182,22369,0.85
15182,25868,0.85
22369,25868,0.85
4149,21649,0.85
4149,31791,0.85
4149,33068,0.85
21649,31791,0.85
21649,33068,0.85
22143,24330,0.85
22143,24454,0.85
24330,24454,0.85
31791,33068,0.85
1375,1685,0.85
1375,6655,0.85
1685,6655,0.85
11633,14874,0.85
11633,17193,0.85
14874,17193,0.85
1775,16241,0.85
1775,21310,0.85
10508,25951,0.85
16241,21310,0.85
3334,33253,0.85
3464,32857,0.85
5808,18091,0.85
10596,13411,0.85
13873,19212,0.85
13873,31552,0.85
19212,31552,0.85
15881,19252,0.85
15881,25672,0.85
19252,25672,0.85
17209,27204,0.85
1036,5568,0.85
1036,9629,0.85
5568,9629,0.85
16476,25408,0.85
19875,20331,0.85
594,19231,0.85
594,19587,0.85
19231,19587,0.85
3510,16033,0.85
3510,19203,0.85
5502,8168,0.85
8987,13893,0.85
8987,18059,0.85
8987,21215,0.85
13893,18059,0.85
13893,21215,0.85
14134,30219,0.85
14134,32083,0.85
16033,19203,0.85
18059,21215,0.85
30219,32083,0.85
17973,32080,0.85
9582,12203,0.85
9582,20702,0.85
12203,20702,0.85
19217,26319,0.85
278,28217,0.85
4294,11550,0.85
18627,31479,0.85
18627,32414,0.85
31479,32414,0.85
8264,14270,0.85
18022,18506,0.85
9929,31652,0.85
9255,25872,0.85
17824,18794,0.85
10625,18019,0.85
1264,13330,0.85
7044,18389,0.85
